game_number,elo,depth,time,opponent_elo,last_game,outcome
0,100.0,1,0.001615539841029955,100.0,0.0,0.0
1,-50.0,1,0.003644726493141868,200.0,0.0,-1.0
2,-66.66666666666667,1,0.0019123982160519331,300.0,0.0,-1.0
3,-50.0,1,0.0029086444688879924,400.0,0.0,-1.0
4,-20.0,1,0.0032907366752624513,500.0,0.0,-1.0
5,16.666666666666668,1,0.003089348475138346,600.0,0.0,-1.0
6,57.142857142857146,1,0.0015823785648789517,700.0,0.0,-1.0
7,100.0,1,0.002006462642124721,800.0,0.0,-1.0
8,144.44444444444446,1,0.0028936522347586496,900.0,0.0,-1.0
9,190.0,1,0.0025839303669176602,1000.0,0.0,-1.0
10,236.36363636363637,1,0.0031107205611008862,1100.0,0.0,-1.0
11,283.3333333333333,1,0.0034344345331192017,1200.0,0.0,-1.0
12,330.7692307692308,1,0.003272805895124163,1300.0,0.0,-1.0
13,378.57142857142856,1,0.002500591278076172,1400.0,0.0,-1.0
14,426.6666666666667,1,0.003337860107421875,1500.0,0.0,-1.0
15,475.0,1,0.003092190798591165,1600.0,0.0,-1.0
16,523.5294117647059,1,0.0027252265385219027,1700.0,0.0,-1.0
17,572.2222222222222,1,0.003559005260467529,1800.0,0.0,-1.0
18,621.0526315789474,1,0.002575609419080946,1900.0,0.0,-1.0
19,670.0,1,0.0026456713676452637,2000.0,0.0,-1.0
20,719.047619047619,1,0.0030020740297105578,2100.0,0.0,-1.0
21,768.1818181818181,1,0.0030649409574620866,2200.0,0.0,-1.0
22,817.3913043478261,1,0.0021575268577126894,2300.0,0.0,-1.0
23,866.6666666666666,1,0.002803325653076172,2400.0,0.0,-1.0
24,916.0,1,0.002551681855145623,2500.0,0.0,-1.0
25,965.3846153846154,1,0.0032630333533653845,2600.0,0.0,-1.0
26,1014.8148148148148,1,0.0028536319732666016,2700.0,0.0,-1.0
27,1064.2857142857142,1,0.0032721757888793945,2800.0,0.0,-1.0
28,1113.7931034482758,1,0.0026449056772085335,2900.0,0.0,-1.0
29,1163.3333333333333,1,0.003058950106302897,3000.0,1.0,-1.0
30,-300.0,2,0.05278033959238153,100.0,0.0,-1.0
31,-250.0,2,0.0681325626373291,200.0,0.0,-1.0
32,-200.0,2,0.06609863203925055,300.0,0.0,-1.0
33,-150.0,2,0.06769669055938721,400.0,0.0,-1.0
34,-100.0,2,0.04893474280834198,500.0,0.0,-1.0
35,16.666666666666668,2,0.08527421034299411,600.0,0.0,0.0
36,57.142857142857146,2,0.07659422384726035,700.0,0.0,-1.0
37,100.0,2,0.06393879254659017,800.0,0.0,-1.0
38,144.44444444444446,2,0.06083396206731382,900.0,0.0,-1.0
39,190.0,2,0.0680818273907616,1000.0,0.0,-1.0
40,236.36363636363637,2,0.05297673580258391,1100.0,0.0,-1.0
41,283.3333333333333,2,0.05047048706757395,1200.0,0.0,-1.0
42,330.7692307692308,2,0.07244123352898492,1300.0,0.0,-1.0
43,378.57142857142856,2,0.0439009964466095,1400.0,0.0,-1.0
44,426.6666666666667,2,0.0774829676657012,1500.0,0.0,-1.0
45,475.0,2,0.04591512680053711,1600.0,0.0,-1.0
46,523.5294117647059,2,0.05839181863344633,1700.0,0.0,-1.0
47,572.2222222222222,2,0.043160070975621544,1800.0,0.0,-1.0
48,621.0526315789474,2,0.07340486296292009,1900.0,0.0,-1.0
49,670.0,2,0.039208684648786275,2000.0,0.0,-1.0
50,719.047619047619,2,0.053278362049775964,2100.0,0.0,-1.0
51,768.1818181818181,2,0.048711250568258355,2200.0,0.0,-1.0
52,834.7826086956521,2,0.07648236274719239,2300.0,0.0,0.0
53,883.3333333333334,2,0.08247565704843272,2400.0,0.0,-1.0
54,932.0,2,0.07479227742841167,2500.0,0.0,-1.0
55,980.7692307692307,2,0.03904962870809767,2600.0,0.0,-1.0
56,1029.6296296296296,2,0.0640709119684556,2700.0,0.0,-1.0
57,1078.5714285714287,2,0.06327470541000366,2800.0,0.0,-1.0
58,1127.5862068965516,2,0.06377710236443414,2900.0,0.0,-1.0
59,1176.6666666666667,2,0.07132403718100654,3000.0,1.0,-1.0
60,-300.0,3,0.31422897428274155,100.0,0.0,-1.0
61,-250.0,3,0.7278525972366333,200.0,0.0,-1.0
62,-200.0,3,0.7569528307233538,300.0,0.0,-1.0
63,-150.0,3,0.5333703756332397,400.0,0.0,-1.0
64,-100.0,3,0.16718616786303822,500.0,0.0,-1.0
65,-50.0,3,0.18081381876174718,600.0,0.0,-1.0
66,0.0,3,0.5891298184523711,700.0,0.0,-1.0
67,50.0,3,0.3459169864654541,800.0,0.0,-1.0
68,100.0,3,0.3138597011566162,900.0,0.0,-1.0
69,190.0,3,0.20190688715142718,1000.0,0.0,0.0
70,236.36363636363637,3,0.3930439313252767,1100.0,0.0,-1.0
71,283.3333333333333,3,0.27883455569927507,1200.0,0.0,-1.0
72,330.7692307692308,3,0.40945055905510397,1300.0,0.0,-1.0
73,435.7142857142857,3,0.5485200854553574,1400.0,0.0,1.0
74,480.0,3,0.32664702249609906,1500.0,0.0,-1.0
75,525.0,3,0.6978331018001476,1600.0,0.0,-1.0
76,617.6470588235294,3,0.28684752109723216,1700.0,0.0,1.0
77,661.1111111111111,3,0.4452366979816292,1800.0,0.0,-1.0
78,705.2631578947369,3,0.2184909703075022,1900.0,0.0,-1.0
79,750.0,3,0.7599931461055104,2000.0,0.0,-1.0
80,795.2380952380952,3,1.2320044093661837,2100.0,0.0,-1.0
81,840.9090909090909,3,0.3583050949932778,2200.0,0.0,-1.0
82,886.9565217391304,3,0.35178489685058595,2300.0,0.0,-1.0
83,933.3333333333334,3,0.8336089732600194,2400.0,0.0,-1.0
84,980.0,3,0.30953138014849496,2500.0,0.0,-1.0
85,1026.923076923077,3,0.39656855165958405,2600.0,0.0,-1.0
86,1074.0740740740741,3,0.4725963665267168,2700.0,0.0,-1.0
87,1121.4285714285713,3,0.5648735225200653,2800.0,0.0,-1.0
88,1168.9655172413793,3,0.7357560023665428,2900.0,0.0,-1.0
89,1216.6666666666667,3,0.5340045109773294,3000.0,1.0,-1.0
90,-300.0,4,3.801875227206462,100.0,0.0,-1.0
91,-50.0,4,6.6188218243916825,200.0,0.0,0.0
92,66.66666666666667,4,8.72016802288237,300.0,0.0,0.0
93,150.0,4,7.437788991133372,400.0,0.0,0.0
94,300.0,4,8.773321751890512,500.0,0.0,1.0
95,350.0,4,5.4525831124139215,600.0,0.0,0.0
96,400.0,4,7.286143950833619,700.0,0.0,0.0
97,500.0,4,3.0825935467596977,800.0,0.0,1.0
98,544.4444444444445,4,7.515476978742159,900.0,0.0,0.0
99,550.0,4,14.29467988865716,1000.0,0.0,-1.0
100,563.6363636363636,4,12.125953831455924,1100.0,0.0,-1.0
101,650.0,4,8.336651288944742,1200.0,0.0,1.0
102,700.0,4,10.106158033494026,1300.0,0.0,0.0
103,721.4285714285714,4,4.941648216530828,1400.0,0.0,-1.0
104,800.0,4,5.776754119816949,1500.0,0.0,1.0
105,850.0,4,8.538874710148031,1600.0,0.0,0.0
106,900.0,4,4.522311377198728,1700.0,0.0,0.0
107,927.7777777777778,4,9.236126357858831,1800.0,0.0,-1.0
108,1000.0,4,8.228249490962309,1900.0,0.0,1.0
109,1070.0,4,7.992786941857173,2000.0,0.0,1.0
110,1138.095238095238,4,4.827497531970342,2100.0,0.0,1.0
111,1186.3636363636363,4,8.310455715772017,2200.0,0.0,0.0
112,1217.391304347826,4,9.982732192329738,2300.0,0.0,-1.0
113,1266.6666666666667,4,8.591083935328893,2400.0,0.0,0.0
114,1300.0,4,7.711117615825252,2500.0,0.0,-1.0
115,1350.0,4,8.686968575353207,2600.0,0.0,0.0
116,1414.8148148148148,4,3.1332551898627448,2700.0,0.0,1.0
117,1478.5714285714287,4,13.041919390360514,2800.0,0.0,1.0
118,1513.7931034482758,4,14.258802498259195,2900.0,0.0,-1.0
119,1550.0,4,8.690827550114813,3000.0,1.0,-1.0
